DATE,CSUSHPISA
1/1/1987,63.965
2/1/1987,64.424
3/1/1987,64.735
4/1/1987,65.132
5/1/1987,65.565
6/1/1987,66.073
7/1/1987,66.508
8/1/1987,66.939
9/1/1987,67.331
10/1/1987,67.738
11/1/1987,68.107
12/1/1987,68.506
1/1/1988,68.859
2/1/1988,69.263
3/1/1988,69.639
4/1/1988,69.977
5/1/1988,70.426
6/1/1988,70.888
7/1/1988,71.354
8/1/1988,71.799
9/1/1988,72.24
10/1/1988,72.636
11/1/1988,73.072
12/1/1988,73.465
1/1/1989,73.947
2/1/1989,74.383
3/1/1989,74.778
4/1/1989,75.085
5/1/1989,75.306
6/1/1989,75.48
7/1/1989,75.658
8/1/1989,75.836
9/1/1989,76.057
10/1/1989,76.283
11/1/1989,76.521
12/1/1989,76.705
1/1/1990,76.897
2/1/1990,77.053
3/1/1990,77.201
4/1/1990,77.278
5/1/1990,77.298
6/1/1990,77.258
7/1/1990,77.138
8/1/1990,77.009
9/1/1990,76.85
10/1/1990,76.7
11/1/1990,76.37
12/1/1990,76.185
1/1/1991,75.916
2/1/1991,75.735
3/1/1991,75.57
4/1/1991,75.567
5/1/1991,75.765
6/1/1991,75.993
7/1/1991,76.083
8/1/1991,76.11
9/1/1991,76.194
10/1/1991,76.075
11/1/1991,76.014
12/1/1991,76.056
1/1/1992,76.086
2/1/1992,76.155
3/1/1992,76.276
4/1/1992,76.346
5/1/1992,76.399
6/1/1992,76.332
7/1/1992,76.264
8/1/1992,76.23
9/1/1992,76.239
10/1/1992,76.377
11/1/1992,76.559
12/1/1992,76.674
1/1/1993,76.784
2/1/1993,76.838
3/1/1993,76.868
4/1/1993,76.937
5/1/1993,77.037
6/1/1993,77.243
7/1/1993,77.429
8/1/1993,77.613
9/1/1993,77.795
10/1/1993,77.942
11/1/1993,78.149
12/1/1993,78.327
1/1/1994,78.592
2/1/1994,78.727
3/1/1994,78.857
4/1/1994,78.988
5/1/1994,79.223
6/1/1994,79.424
7/1/1994,79.596
8/1/1994,79.782
9/1/1994,79.919
10/1/1994,80.065
11/1/1994,80.15
12/1/1994,80.297
1/1/1995,80.427
2/1/1995,80.529
3/1/1995,80.599
4/1/1995,80.661
5/1/1995,80.705
6/1/1995,80.786
7/1/1995,80.937
8/1/1995,81.111
9/1/1995,81.307
10/1/1995,81.483
11/1/1995,81.62
12/1/1995,81.737
1/1/1996,81.835
2/1/1996,81.954
3/1/1996,82.194
4/1/1996,82.422
5/1/1996,82.611
6/1/1996,82.753
7/1/1996,82.929
8/1/1996,83.087
9/1/1996,83.258
10/1/1996,83.378
11/1/1996,83.553
12/1/1996,83.722
1/1/1997,83.956
2/1/1997,84.181
3/1/1997,84.453
4/1/1997,84.624
5/1/1997,84.862
6/1/1997,85.081
7/1/1997,85.333
8/1/1997,85.574
9/1/1997,85.851
10/1/1997,86.148
11/1/1997,86.633
12/1/1997,87.094
1/1/1998,87.616
2/1/1998,88.004
3/1/1998,88.443
4/1/1998,88.879
5/1/1998,89.365
6/1/1998,89.845
7/1/1998,90.311
8/1/1998,90.786
9/1/1998,91.26
10/1/1998,91.719
11/1/1998,92.201
12/1/1998,92.713
1/1/1999,93.209
2/1/1999,93.672
3/1/1999,94.218
4/1/1999,94.785
5/1/1999,95.345
6/1/1999,95.976
7/1/1999,96.593
8/1/1999,97.221
9/1/1999,97.864
10/1/1999,98.524
11/1/1999,99.155
12/1/1999,99.846
1/1/2000,100.552
2/1/2000,101.339
3/1/2000,102.127
4/1/2000,102.922
5/1/2000,103.677
6/1/2000,104.424
7/1/2000,105.054
8/1/2000,105.767
9/1/2000,106.537
10/1/2000,107.382
11/1/2000,108.302
12/1/2000,109.14
1/1/2001,109.846
2/1/2001,110.5
3/1/2001,111.108
4/1/2001,111.651
5/1/2001,112.163
6/1/2001,112.796
7/1/2001,113.491
8/1/2001,114.166
9/1/2001,114.811
10/1/2001,115.308
11/1/2001,115.855
12/1/2001,116.453
1/1/2002,117.143
2/1/2002,117.844
3/1/2002,118.687
4/1/2002,119.611
5/1/2002,120.724
6/1/2002,121.813
7/1/2002,122.888
8/1/2002,123.831
9/1/2002,124.78
10/1/2002,125.734
11/1/2002,126.669
12/1/2002,127.622
1/1/2003,128.461
2/1/2003,129.355
3/1/2003,130.148
4/1/2003,130.884
5/1/2003,131.735
6/1/2003,132.649
7/1/2003,133.776
8/1/2003,134.968
9/1/2003,136.294
10/1/2003,137.532
11/1/2003,138.794
12/1/2003,140.18
1/1/2004,141.646
2/1/2004,143.192
3/1/2004,145.059
4/1/2004,146.592
5/1/2004,148.185
6/1/2004,149.85
7/1/2004,151.338
8/1/2004,152.633
9/1/2004,154.179
10/1/2004,155.751
11/1/2004,157.527
12/1/2004,159.33
1/1/2005,161.288
2/1/2005,163.344
3/1/2005,165.812
4/1/2005,167.501
5/1/2005,169.351
6/1/2005,171.19
7/1/2005,172.86
8/1/2005,174.44
9/1/2005,176.437
10/1/2005,178.027
11/1/2005,179.681
12/1/2005,180.91
1/1/2006,182.32
2/1/2006,183.287
3/1/2006,184.364
4/1/2006,184.329
5/1/2006,184.156
6/1/2006,183.507
7/1/2006,183.067
8/1/2006,182.593
9/1/2006,182.799
10/1/2006,183.2
11/1/2006,183.611
12/1/2006,184.141
1/1/2007,184.518
2/1/2007,184.599
3/1/2007,184.15
4/1/2007,183.011
5/1/2007,181.601
6/1/2007,180.254
7/1/2007,179.111
8/1/2007,178.117
9/1/2007,177.558
10/1/2007,176.624
11/1/2007,175.147
12/1/2007,174.341
1/1/2008,173.133
2/1/2008,171.542
3/1/2008,170.054
4/1/2008,168.337
5/1/2008,166.658
6/1/2008,165.017
7/1/2008,163.567
8/1/2008,161.989
9/1/2008,160.309
10/1/2008,158.329
11/1/2008,156.142
12/1/2008,153.618
1/1/2009,151.504
2/1/2009,150.012
3/1/2009,148.659
4/1/2009,147.949
5/1/2009,147.696
6/1/2009,148.09
7/1/2009,148.409
8/1/2009,148.276
9/1/2009,148.023
10/1/2009,147.848
11/1/2009,148.133
12/1/2009,147.929
1/1/2010,147.395
2/1/2010,145.632
3/1/2010,145.86
4/1/2010,146.401
5/1/2010,146.391
6/1/2010,145.717
7/1/2010,144.988
8/1/2010,143.912
9/1/2010,143.015
10/1/2010,142.525
11/1/2010,142.169
12/1/2010,142.061
1/1/2011,141.526
2/1/2011,140.356
3/1/2011,139.987
4/1/2011,140.011
5/1/2011,139.904
6/1/2011,139.86
7/1/2011,139.727
8/1/2011,139.306
9/1/2011,138.667
10/1/2011,137.954
11/1/2011,137.154
12/1/2011,136.676
1/1/2012,136.607
2/1/2012,136.529
3/1/2012,137.903
4/1/2012,139.155
5/1/2012,140.156
6/1/2012,141.029
7/1/2012,141.667
8/1/2012,142.277
9/1/2012,142.907
10/1/2012,143.6
11/1/2012,144.585
12/1/2012,145.501
1/1/2013,146.835
2/1/2013,147.784
3/1/2013,149.965
4/1/2013,151.521
5/1/2013,152.854
6/1/2013,154.194
7/1/2013,155.606
8/1/2013,156.973
9/1/2013,158.234
10/1/2013,159.247
11/1/2013,160.075
12/1/2013,160.997
1/1/2014,161.948
2/1/2014,162.53
3/1/2014,163.093
4/1/2014,163.4
5/1/2014,163.666
6/1/2014,164.04
7/1/2014,164.574
8/1/2014,165.219
9/1/2014,165.909
10/1/2014,166.646
11/1/2014,167.339
12/1/2014,168.058
1/1/2015,168.663
2/1/2015,169.138
3/1/2015,169.812
4/1/2015,170.312
5/1/2015,170.894
6/1/2015,171.437
7/1/2015,172.131
8/1/2015,172.948
9/1/2015,173.84
10/1/2015,174.802
11/1/2015,175.747
12/1/2015,176.553
1/1/2016,177.302
2/1/2016,177.667
3/1/2016,178.193
4/1/2016,178.8
5/1/2016,179.46
6/1/2016,180.057
7/1/2016,180.848
8/1/2016,181.868
9/1/2016,182.837
10/1/2016,183.751
11/1/2016,184.74
12/1/2016,185.69
1/1/2017,186.793
2/1/2017,187.313
3/1/2017,188.032
4/1/2017,188.818
5/1/2017,189.707
6/1/2017,190.522
7/1/2017,191.499
8/1/2017,192.723
9/1/2017,193.786
10/1/2017,194.778
11/1/2017,195.866
12/1/2017,197.044
1/1/2018,198.201
2/1/2018,199.184
3/1/2018,200.038
4/1/2018,200.876
5/1/2018,201.646
6/1/2018,202.345
7/1/2018,203.015
8/1/2018,203.783
9/1/2018,204.366
10/1/2018,205.017
11/1/2018,205.464
12/1/2018,205.867
1/1/2019,206.266
2/1/2019,206.712
3/1/2019,207.202
4/1/2019,207.941
5/1/2019,208.58
6/1/2019,208.947
7/1/2019,209.496
8/1/2019,210.231
9/1/2019,210.911
10/1/2019,211.598
11/1/2019,212.446
12/1/2019,213.434
1/1/2020,214.49
2/1/2020,215.549
3/1/2020,216.602
4/1/2020,217.464
5/1/2020,217.689
6/1/2020,218.139
7/1/2020,219.702
8/1/2020,222.539
9/1/2020,225.793
10/1/2020,229.403
11/1/2020,232.673
12/1/2020,235.7
1/1/2021,238.784
2/1/2021,241.845
3/1/2021,245.796
4/1/2021,250.094
5/1/2021,254.556
6/1/2021,259.249
7/1/2021,263.349
8/1/2021,267.028
9/1/2021,270.258
10/1/2021,273.154
11/1/2021,276.429
12/1/2021,280.19
1/1/2022,284.767
2/1/2022,290.371
3/1/2022,296.496
4/1/2022,301.704
5/1/2022,304.831
